pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cmd_x,cmd_y,cmd_z,cmd_yaw,f1,f2,f3,f4,pwm1,pwm2,pwm3,pwm4,bodyFx,bodyFy,bodyFz,worldFx,worldFy,worldFz,bodyTx,bodyTy,bodyTz,stateVx,stateVy,stateVz,posVx,posVy,posVz,accWx,accWy,accWz,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,status_battery_voltage,pm_vbat,zero_bias_count,mobForceNone_x,mobForceNone_y,mobForceNone_z,mobForceResidual_x,mobForceResidual_y,mobForceResidual_z,mobTorque_x,mobTorque_y,mobTorque_z,mobResidual_x,mobResidual_y,mobResidual_z,accRawBody_x,accRawBody_y,accRawBody_z,gyroBody_x,gyroBody_y,gyroBody_z
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.0010298464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0738082081,-0.0207356475,0.9959689975,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0116842315,-0.0040893001,0.0002714711,0.0884577930,0.0298686568,0.0001716990,-0.0381400175,-0.0236901008,-0.0068359803,nan,nan,nan,0.0000000000,0.0000000000,-0.0010298464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0738082081,-0.0207356475,0.9959689975,-0.0529218093,-0.3692899048,-0.0923837423
-0.0063743880,0.1068705991,0.0910079628,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0116842315,-0.0040893001,0.0002714711,0.0884577930,0.0298686568,0.0001716990,-0.0381400175,-0.0236901008,-0.0068359803,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0010298464,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0738082081,-0.0207356475,0.9959689975,-0.0529218093,-0.3692899048,-0.0923837423
-0.0063743880,0.1068705991,0.0910079628,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0116842315,-0.0040893001,0.0002714711,0.0884577930,0.0298686568,0.0001716990,-0.0256636981,-0.0236647334,-0.0075586960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0010298464,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0723280609,-0.0198607333,0.9980708361,-0.2858078480,-0.0938998386,-0.1006633490
-0.0063743880,0.1068705991,0.0910079628,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0143009704,-0.0051469607,0.0002122193,0.0626396537,0.0211239085,0.0001832948,-0.0256636981,-0.0236647334,-0.0075586960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0010298464,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0723280609,-0.0198607333,0.9980708361,-0.2858078480,-0.0938998386,-0.1006633490
-0.0070807580,0.1066219062,0.0910186023,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0143009704,-0.0051469607,0.0002122193,0.0626396537,0.0211239085,0.0001832948,-0.0256636981,-0.0236647334,-0.0075586960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0070782760,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0749584213,-0.0173554104,0.9992449880,-0.2858078480,-0.0938998386,-0.1006633490
-0.0070807580,0.1066219062,0.0910186023,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100345211,-0.0031405683,0.0006781386,0.0486803055,0.0164772905,0.0000967574,-0.0259474218,-0.0082753068,0.0111798765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0070782760,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0749584213,-0.0173554104,0.9992449880,0.0559530705,-0.1136788800,0.0124330735
-0.0063634757,0.1068848148,0.0910239592,-0.0166377581,0.0719691104,-0.0005989747,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100345211,-0.0031405683,0.0006781386,0.0486803055,0.0164772905,0.0000967574,-0.0259474218,-0.0082753068,0.0111798765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0070782760,nan,3.3043987751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0749584213,-0.0173554104,0.9992449880,0.0559530705,-0.1136788800,0.0124330735
