pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cmd_x,cmd_y,cmd_z,cmd_yaw,f1,f2,f3,f4,pwm1,pwm2,pwm3,pwm4,bodyFx,bodyFy,bodyFz,worldFx,worldFy,worldFz,bodyTx,bodyTy,bodyTz,stateVx,stateVy,stateVz,posVx,posVy,posVz,accWx,accWy,accWz,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,status_battery_voltage,pm_vbat,zero_bias_count,mobForceNone_x,mobForceNone_y,mobForceNone_z,mobForceResidual_x,mobForceResidual_y,mobForceResidual_z,mobTorque_x,mobTorque_y,mobTorque_z,mobResidual_x,mobResidual_y,mobResidual_z,accRawBody_x,accRawBody_y,accRawBody_z,gyroBody_x,gyroBody_y,gyroBody_z
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0160156321,-0.0135847488,-0.0039696749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018880432,-0.0201009829,0.9996566772,0.1348215044,-0.2582363486,-0.0371867791
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000990391,-0.0029017192,0.0005478273,0.0000394570,0.0013211868,-0.0004534766,-0.0160156321,-0.0135847488,-0.0039696749,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018880432,-0.0201009829,0.9996566772,0.1348215044,-0.2582363486,-0.0371867791
0.0580067672,0.1318875700,0.0900239497,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000990391,-0.0029017192,0.0005478273,0.0000394570,0.0013211868,-0.0004534766,-0.0160156321,-0.0135847488,-0.0039696749,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010950218,-0.0162928719,1.0015348196,-0.2041865587,0.0343256891,0.2570907176
0.0580067672,0.1318875700,0.0900239497,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002304591,-0.0029384298,0.0009861607,-0.0000073300,0.0001979539,-0.0001388667,0.0070846360,0.0060428903,0.0101858499,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010950218,-0.0162928719,1.0015348196,-0.2041865587,0.0343256891,0.2570907176
0.0579962470,0.1317352206,0.0900680423,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002304591,-0.0029384298,0.0009861607,-0.0000073300,0.0001979539,-0.0001388667,0.0070846360,0.0060428903,0.0101858499,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481449887,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0000051376,-0.0201642755,1.0009337664,-0.2041865587,0.0343256891,0.2570907176
0.0579962470,0.1317352206,0.0900680423,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002304591,-0.0029384298,0.0009861607,-0.0000073300,0.0001979539,-0.0001388667,0.0032904127,0.0019015094,0.0158424471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481449887,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0000051376,-0.0201642755,1.0009337664,-0.0423422642,-0.0225859508,0.1331705600
0.0579962470,0.1317352206,0.0900680423,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0001645274,-0.0026289246,0.0008102364,-0.0000126625,0.0012585829,-0.0003723335,0.0032904127,0.0019015094,0.0158424471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481449887,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0000051376,-0.0201642755,1.0009337664,-0.0423422642,-0.0225859508,0.1331705600
0.0579938591,0.1319057494,0.0900256857,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0001645274,-0.0026289246,0.0008102364,-0.0000126625,0.0012585829,-0.0003723335,0.0032904127,0.0019015094,0.0158424471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481449887,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023671535,-0.0162456539,0.9986866713,-0.0147475619,-0.2322217971,-0.0793442652
0.0579938591,0.1319057494,0.0900256857,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0003261572,-0.0034056306,0.0002140078,-0.0000711433,0.0000726466,-0.0000999409,0.0070216251,0.0129688475,-0.0233473480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481449887,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023671535,-0.0162456539,0.9986866713,-0.0147475619,-0.2322217971,-0.0793442652
0.0579796359,0.1317389160,0.0900473148,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0003261572,-0.0034056306,0.0002140078,-0.0000711433,0.0000726466,-0.0000999409,0.0070216251,0.0129688475,-0.0233473480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476655290,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023671535,-0.0162456539,0.9986866713,-0.0147475619,-0.2322217971,-0.0793442652
0.0579796359,0.1317389160,0.0900473148,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0003261572,-0.0034056306,0.0002140078,-0.0000711433,0.0000726466,-0.0000999409,-0.0112032415,0.0031589926,-0.0106448568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476655290,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010277408,-0.0172974486,1.0015097857,-0.0493308008,-0.1614671052,-0.1460182667
0.0579796359,0.1317389160,0.0900473148,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007741333,-0.0023982925,0.0001008548,-0.0000974828,0.0003240095,-0.0002137012,-0.0112032415,0.0031589926,-0.0106448568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476655290,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010277408,-0.0172974486,1.0015097857,-0.0493308008,-0.1614671052,-0.1460182667
0.0579592735,0.1317994446,0.0900197402,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007741333,-0.0023982925,0.0001008548,-0.0000974828,0.0003240095,-0.0002137012,-0.0112032415,0.0031589926,-0.0106448568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476655290,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007261616,-0.0189981088,0.9995082617,-0.2927689850,0.0556946099,0.1647493243
0.0579592735,0.1317994446,0.0900197402,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0017165282,-0.0032150277,-0.0001021633,-0.0004047485,-0.0005406620,-0.0001655536,-0.0070860977,0.0090176566,0.0090234233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476655290,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007261616,-0.0189981088,0.9995082617,-0.2927689850,0.0556946099,0.1647493243
0.0578831956,0.1316444427,0.0900150090,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0017165282,-0.0032150277,-0.0001021633,-0.0004047485,-0.0005406620,-0.0001655536,-0.0070860977,0.0090176566,0.0090234233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0471647792,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025836139,-0.0204404015,0.9993448257,-0.2927689850,0.0556946099,0.1647493243
0.0578831956,0.1316444427,0.0900150090,-0.0193731476,-0.0027674122,0.0000268076,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0017165282,-0.0032150277,-0.0001021633,-0.0004047485,-0.0005406620,-0.0001655536,0.0062696836,-0.0204283297,-0.0023026336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0471647792,nan,4.0486803055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025836139,-0.0204404015,0.9993448257,0.0780349821,0.0703489855,0.0496639647
