t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1779238432.4213902950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1
1779238432.4314568043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3
1779238432.4414358139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3
1779238432.4514615536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3
1779238432.4614529610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3
1779238432.4714658260,0.0046141264,0.1130035147,0.0911175758,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000519753,inf,inf,inf,inf,inf,inf,inf,0.0000071526,inf,inf,inf,inf,inf,inf,inf,1031
1779238432.4814388752,0.0046141264,0.1130035147,0.0911175758,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0100250244,inf,inf,inf,inf,inf,inf,inf,0.0099802017,inf,inf,inf,inf,inf,inf,inf,1031
1779238432.4914557934,0.0046141264,0.1130035147,0.0911175758,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0200419426,inf,inf,inf,inf,inf,inf,inf,0.0199971199,inf,inf,inf,inf,inf,inf,inf,1031
1779238432.5014574528,0.0046141264,0.1130035147,0.0911175758,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0300436020,inf,inf,inf,inf,inf,inf,inf,0.0299987793,inf,inf,inf,inf,inf,inf,inf,1031
1779238432.5114252567,0.0046141264,0.1130035147,0.0911175758,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0400114059,inf,inf,inf,inf,inf,inf,0.0000081062,0.0399665833,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5214211941,0.0053779883,0.1130057052,0.0910557657,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000088215,inf,inf,inf,inf,inf,inf,0.0100040436,0.0499625206,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5315124989,0.0053779883,0.1130057052,0.0910557657,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0101001263,inf,inf,inf,inf,inf,inf,0.0200953484,0.0600538254,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5415163040,0.0053779883,0.1130057052,0.0910557657,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0201039314,inf,inf,inf,inf,inf,inf,0.0300991535,0.0700576305,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5514793396,0.0053779883,0.1130057052,0.0910557657,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0300669670,inf,inf,inf,inf,inf,inf,0.0400621891,0.0800206661,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5614869595,0.0053779883,0.1130057052,0.0910557657,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146974139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0400745869,inf,inf,inf,inf,inf,inf,0.0500698090,0.0900282860,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5714468956,0.0051193684,0.1130288094,0.0910660997,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000312328,inf,inf,inf,inf,inf,inf,0.0600297451,0.0000095367,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5814619064,0.0051193684,0.1130288094,0.0910660997,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0100462437,inf,inf,inf,inf,inf,inf,0.0700447559,0.0100245476,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.5914793015,0.0051193684,0.1130288094,0.0910660997,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0200636387,inf,inf,inf,inf,inf,inf,0.0800621510,0.0200419426,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.6014995575,0.0051193684,0.1130288094,0.0910660997,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0300838947,inf,inf,inf,inf,inf,inf,0.0900824070,0.0300621986,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.6114642620,0.0051193684,0.1130288094,0.0910660997,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0400485992,inf,inf,inf,inf,inf,inf,0.0000171661,0.0400269032,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.6214528084,0.0053948034,0.1130200997,0.0910588428,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000157356,inf,inf,inf,inf,inf,inf,0.0100057125,0.0500154495,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.6314578056,0.0053948034,0.1130200997,0.0910588428,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0100207329,inf,inf,inf,inf,inf,inf,0.0200107098,0.0600204468,inf,inf,inf,inf,inf,inf,inf,1543
1779238432.6414623260,0.0053948034,0.1130200997,0.0910588428,-0.0027803356,0.1107581474,-0.0001541301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101563009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0200252533,inf,inf,inf,inf,inf,inf,0.0300152302,0.0700249672,inf,inf,inf,inf,inf,inf,inf,1543
