pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cmd_x,cmd_y,cmd_z,cmd_yaw,f1,f2,f3,f4,pwm1,pwm2,pwm3,pwm4,bodyFx,bodyFy,bodyFz,worldFx,worldFy,worldFz,bodyTx,bodyTy,bodyTz,stateVx,stateVy,stateVz,posVx,posVy,posVz,accWx,accWy,accWz,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,status_battery_voltage,pm_vbat,zero_bias_count,mobForceNone_x,mobForceNone_y,mobForceNone_z,mobForceResidual_x,mobForceResidual_y,mobForceResidual_z,mobTorque_x,mobTorque_y,mobTorque_z,mobResidual_x,mobResidual_y,mobResidual_z,accRawBody_x,accRawBody_y,accRawBody_z,gyroBody_x,gyroBody_y,gyroBody_z
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0169384181,-0.0007314971,-0.0009918431,-0.0056352443,-0.0001700052,-0.0007972826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0125564262,0.1028213203,0.0908489376,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0169384181,-0.0007314971,-0.0009918431,-0.0056352443,-0.0001700052,-0.0007972826,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0855262801,-0.0098000253,0.9972929955,-0.0302959532,-0.2074219137,-0.1570720673
-0.0125564262,0.1028213203,0.0908489376,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0215064585,-0.0012066708,-0.0009320231,-0.0090442700,-0.0003915191,-0.0009035553,-0.0466945134,-0.0040662382,0.0141853457,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0855262801,-0.0098000253,0.9972929955,-0.0302959532,-0.2074219137,-0.1570720673
-0.0135683287,0.1027639732,0.0907900631,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0215064585,-0.0012066708,-0.0009320231,-0.0090442700,-0.0003915191,-0.0009035553,-0.0466945134,-0.0040662382,0.0141853457,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153807933,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0855262801,-0.0098000253,0.9972929955,-0.0302959532,-0.2074219137,-0.1570720673
-0.0135683287,0.1027639732,0.0907900631,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0215064585,-0.0012066708,-0.0009320231,-0.0090442700,-0.0003915191,-0.0009035553,-0.0257463325,-0.0026574072,-0.0074037449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153807933,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0828207806,-0.0106222257,0.9961963296,-0.0614199862,-0.3840506971,0.0732025430
-0.0135683287,0.1027639732,0.0907900631,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0088880919,-0.0007132849,-0.0000175641,0.0083349915,0.0007130750,0.0004250059,-0.0257463325,-0.0026574072,-0.0074037449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153807933,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0828207806,-0.0106222257,0.9961963296,-0.0614199862,-0.3840506971,0.0732025430
-0.0107375029,0.1029417813,0.0910002962,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0088880919,-0.0007132849,-0.0000175641,0.0083349915,0.0007130750,0.0004250059,-0.0257463325,-0.0026574072,-0.0074037449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153807933,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0846341625,-0.0092027225,0.9956076741,-0.2636599243,-0.1629932970,-0.0662800223
-0.0107375029,0.1029417813,0.0910002962,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0122790840,-0.0019378726,-0.0002191155,0.0033074727,0.0001453170,0.0003241754,-0.0317882970,-0.0035223595,-0.0245431047,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153807933,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0846341625,-0.0092027225,0.9956076741,-0.2636599243,-0.1629932970,-0.0662800223
-0.0103835966,0.1029573977,0.0910063908,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0122790840,-0.0019378726,-0.0002191155,0.0033074727,0.0001453170,0.0003241754,-0.0317882970,-0.0035223595,-0.0245431047,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107857874,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0846341625,-0.0092027225,0.9956076741,-0.2636599243,-0.1629932970,-0.0662800223
-0.0103835966,0.1029573977,0.0910063908,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0122790840,-0.0019378726,-0.0002191155,0.0033074727,0.0001453170,0.0003241754,-0.0414372347,-0.0083357831,-0.0002631247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107857874,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0841130465,-0.0112774055,0.9941817522,-0.0641116500,0.1187032685,-0.0064309030
-0.0103835966,0.1029573977,0.0910063908,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100319656,-0.0016225989,-0.0003142917,0.0045274049,0.0001945130,0.0002110985,-0.0414372347,-0.0083357831,-0.0002631247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107857874,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0841130465,-0.0112774055,0.9941817522,-0.0641116500,0.1187032685,-0.0064309030
-0.0108663132,0.1028795391,0.0909949020,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100319656,-0.0016225989,-0.0003142917,0.0045274049,0.0001945130,0.0002110985,-0.0414372347,-0.0083357831,-0.0002631247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107857874,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0838311389,-0.0114946337,0.9975410700,-0.1117398515,-0.1019218042,-0.0133581664
-0.0108663132,0.1028795391,0.0909949020,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0132374251,-0.0020761208,-0.0002135385,0.0002464050,-0.0003035396,0.0000994886,-0.0334383138,-0.0165750589,-0.0031206592,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107857874,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0838311389,-0.0114946337,0.9975410700,-0.1117398515,-0.1019218042,-0.0133581664
-0.0114851892,0.1027865782,0.0909847766,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0132374251,-0.0020761208,-0.0002135385,0.0002464050,-0.0003035396,0.0000994886,-0.0334383138,-0.0165750589,-0.0031206592,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142635889,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0838311389,-0.0114946337,0.9975410700,-0.1117398515,-0.1019218042,-0.0133581664
-0.0114851892,0.1027865782,0.0909847766,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0132374251,-0.0020761208,-0.0002135385,0.0002464050,-0.0003035396,0.0000994886,-0.0026382059,-0.0013913584,0.0035890210,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142635889,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0819947049,-0.0094860047,0.9974383712,0.0492754653,0.0395163707,-0.0176545754
-0.0114851892,0.1027865782,0.0909847766,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0069962116,-0.0011209277,0.0002043622,0.0072251167,0.0007650743,0.0001599737,-0.0026382059,-0.0013913584,0.0035890210,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142635889,nan,3.6369502544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0819947049,-0.0094860047,0.9974383712,0.0492754653,0.0395163707,-0.0176545754
-0.0102470350,0.1029600129,0.0910053179,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0069962116,-0.0011209277,0.0002043622,0.0072251167,0.0007650743,0.0001599737,-0.0026382059,-0.0013913584,0.0035890210,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142635889,nan,3.6369502544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0829495341,-0.0127661582,0.9965346456,-0.1499302834,-0.1450871527,0.2655688524
-0.0102470350,0.1029600129,0.0910053179,-0.0110970443,0.0802790102,-0.0004456738,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0107284142,-0.0023366874,-0.0000907370,0.0028992577,0.0001146518,0.0001086042,-0.0157132763,-0.0151759489,-0.0011957557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142635889,nan,3.6369502544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0829495341,-0.0127661582,0.9965346456,-0.1499302834,-0.1450871527,0.2655688524
-0.0107406853,0.1028584763,0.0909989700,-0.0110989326,0.0830488266,-0.0004611465,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0107284142,-0.0023366874,-0.0000907370,0.0028992577,0.0001146518,0.0001086042,-0.0157132763,-0.0151759489,-0.0011957557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144966152,nan,3.6369502544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0829495341,-0.0127661582,0.9965346456,-0.1499302834,-0.1450871527,0.2655688524
-0.0107406853,0.1028584763,0.0909989700,-0.0110989326,0.0830488266,-0.0004611465,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0107284142,-0.0023366874,-0.0000907370,0.0028992577,0.0001146518,0.0001086042,-0.0137934908,0.0056406041,0.0067722453,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144966152,nan,3.6369502544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0828720629,-0.0099843079,0.9967332482,-0.1311304718,-0.5145640969,-0.0120630590
-0.0107406853,0.1028584763,0.0909989700,-0.0110989326,0.0830488266,-0.0004611465,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0100414120,-0.0014437693,-0.0000010578,0.0028421469,0.0002287969,0.0001005449,-0.0137934908,0.0056406041,0.0067722453,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144966152,nan,3.6422288418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0828720629,-0.0099843079,0.9967332482,-0.1311304718,-0.5145640969,-0.0120630590
