t_sec,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,status_battery_voltage,raw_battery_voltage,filt_battery_voltage,cmd_x,cmd_y,cmd_z,cmd_yaw,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,gyro_x,gyro_y,gyro_z,angAcc_x,angAcc_y,angAcc_z,velDes_vx,velDes_vy,velDes_vz,attDes_roll,attDes_pitch,attDes_yaw,motor_f1,motor_f2,motor_f3,motor_f4,motor_f1_scaled,motor_f2_scaled,motor_f3_scaled,motor_f4_scaled,bodyInFx,bodyInFy,bodyInFz,droneWorldFx,droneWorldFy,droneWorldFz,droneWorldFx_scaled,droneWorldFy_scaled,droneWorldFz_scaled,zero_bias_count,rateDes_roll,rateDes_pitch,rateDes_yaw,age_pose,age_status,age_cf_voltage,age_cmd_position,age_stateEstimate_velocity,age_stateEstimate_acc,age_gyro_feedback,age_vel_des,age_att_des,age_rate_des,age_cf_motor_force,age_cf_motor_force_scaled,age_cf_body_input_force,age_cf_world_force,age_cf_F_input_scaled,age_cf_zero_bias_dbg,validity_bitmask
1779235220.8979029655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1
1779235220.9080619812,-0.0109656164,0.1328120977,0.0847127587,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000522137,inf,inf,inf,inf,inf,inf,inf,0.0000073910,inf,inf,inf,inf,inf,inf,inf,1031
1779235220.9180369377,-0.0109656164,0.1328120977,0.0847127587,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0100271702,inf,inf,inf,inf,inf,inf,inf,0.0099823475,inf,inf,inf,inf,inf,inf,inf,1031
1779235220.9280149937,-0.0109656164,0.1328120977,0.0847127587,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0200052261,inf,inf,inf,inf,inf,inf,inf,0.0199604034,inf,inf,inf,inf,inf,inf,inf,1031
1779235220.9380507469,-0.0109656164,0.1328120977,0.0847127587,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0300409794,inf,inf,inf,inf,inf,inf,inf,0.0299961567,inf,inf,inf,inf,inf,inf,inf,1031
1779235220.9479877949,-0.0109656164,0.1328120977,0.0847127587,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0399780273,inf,inf,inf,inf,inf,inf,0.0000100136,0.0399332047,inf,inf,inf,inf,inf,inf,inf,1543
1779235220.9579973221,-0.0146205099,0.1325253695,0.0834942684,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000131130,inf,inf,inf,inf,inf,inf,0.0100195408,0.0499427319,inf,inf,inf,inf,inf,inf,inf,1543
1779235220.9680745602,-0.0146205099,0.1325253695,0.0834942684,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0100903511,inf,inf,inf,inf,inf,inf,0.0200967789,0.0600199699,inf,inf,inf,inf,inf,inf,inf,1543
1779235220.9780840874,-0.0146205099,0.1325253695,0.0834942684,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0200998783,inf,inf,inf,inf,inf,inf,0.0301063061,0.0700294971,inf,inf,inf,inf,inf,inf,inf,1543
1779235220.9880516529,-0.0146205099,0.1325253695,0.0834942684,-0.0167622644,0.1579083488,-0.0013262385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0776969045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0300674438,inf,inf,inf,inf,inf,inf,0.0400738716,0.0799970627,inf,inf,inf,inf,inf,inf,inf,1543
